procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 0  0    524 383608  65500 877612    0    0     0     0   71  116  0  0 100  0  0
 0  0    524 383608  65508 877612    0    0     0     0   76  120  0  0 100  0  0
 0  0    524 383608  65532 877604    0    0     0     3  194  350  0  0 100  0  0
 0  0    524 383860  65532 877612    0    0     0     1   74  117  0  0 100  0  0
 0  0    524 383860  65532 877612    0    0     0     0   79  108  0  0 100  0  0
 0  0    524 383860  65532 877612    0    0     0     0   72  118  0  0 100  0  0
 0  0    524 383600  65532 877612    0    0     0     0  177  309  0  0 100  0  0
 0  0    524 383600  65532 877612    0    0     0     0   78  114  0  0 100  0  0
 0  0    524 383600  65532 877612    0    0     0     0   73  112  0  0 100  0  0
 0  0    524 383852  65532 877612    0    0     0     0   79  113  0  0 100  0  0
 0  0    524 383852  65532 877612    0    0     0     0   75  112  0  0 100  0  0
 0  0    524 383852  65532 877612    0    0     0     0   78  111  0  0 100  0  0
 0  0    524 313772  66188 927208    0    0  1650    15  142  219  0  0 99  0  0
 0  0    524 334444  66204 927204    0    0     0    23   81  124  0  0 100  0  0
 0  0    524 334256  66204 927204    0    0     0     0  108  167  0  0 100  0  0
 0  0    524 334256  66204 927204    0    0     0     0   76  116  0  0 100  0  0
 0  0    524 334256  66204 927204    0    0     0     0   71  114  0  0 100  0  0
 0  0    524 334256  66204 927204    0    0     0     0   71  118  0  0 100  0  0
 0  0    524 334232  66204 927204    0    0     0     0   87  156  0  0 100  0  0
procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 2  0    524 334232  66204 927204    0    0     0     0   71  117  0  0 100  0  0
 2  1    524  88956  66688 955524    0    0    25    61  469 1225  1  7 91  0  0
 2  1   2048  78704  64240 835832    0   56   596  1148 1860 5971  3 10 84  3  0
 0  0   8192 185272  61404 737432    0  201   188   412 1279 4317  4 14 80  2  0
 0  0   8192 202516  61616 746004    0    0    66   267 1685 5059  4  7 89  0  0
 0  0   8192 181088  62056 780704    0    0     2   302 2189 5358  4  4 92  0  0
 0  0   8192 174392  62132 781000    0    0     0   130 2313 6275  6  6 89  0  0
 1  0   8192 560676  62236 708972    0    0    48    98  660 1589  1  2 97  0  0
 0  0   8192 560676  62244 708972    0    0     0    17  100  181  0  0 100  0  0
 0  0   8192 560676  62244 708972    0    0     0     0   66  115  0  0 100  0  0
 0  0   8192 560928  62244 708972    0    0     0     0   67  119  0  0 100  0  0
 0  0   8192 560928  62244 708972    0    0     0     0   65  116  0  0 100  0  0
 0  0   8192 560928  62244 708972    0    0     0     0   67  119  0  0 100  0  0
 0  0   8192 560928  62260 708972    0    0     0     2   68  121  0  0 100  0  0
 0  0   8192 560928  62268 708972    0    0     0     3  132  245  0  0 100  0  0
 0  0   8192 560928  62268 708972    0    0     0     0   65  116  0  0 100  0  0
 0  0   8192 560928  62268 708972    0    0     0     0   68  119  0  0 100  0  0
 0  0   8192 560928  62284 708972    0    0     0     2   67  119  0  0 100  0  0
 0  0   8192 561156  62292 709024    0    0     1     2   70  122  0  0 100  0  0
