procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
0  0 348128 235768  10816 404604   62    0   107    20  679 1083 11  1 88  0  0
procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
5  0 347872 236784  10840 405388   10    0    10    87  620  313  1  0 98  0  0
0  0 347872 236280  10856 404780    2    0     6    23  614  388  3  0 96  0  0
0  0 347872 236028  10872 405600    0    0     1    57  635  302  1  0 99  0  0
0  0 347872 235272  10896 405600    4    0     5    45  595  311  1  0 97  1  0
0  0 347872 235776  10912 405636    0    0     1    16  608  300  1  0 98  0  0
0  0 347872 218336  10944 405696    0    0     3   104 1218 1044  5  1 94  0  0
0  0 347872 219836  10968 404900    0    0     1   117 1633 1128  2  0 97  0  0
0  0 347872 213284  11008 404968    0    0     3    78  670  402  4  0 96  0  0
0  0 347872 224120  11040 405024    0    0     2    61  642  365  2  0 97  0  0
0  0 347872 217032  11056 405144    0    0     5    14  628  484  4  0 96  0  0
0  0 347872 220560  11080 405156    0    0     1   102  601  409  3  0 97  0  0
0  0 347872 221568  11104 405980    0    0     2    32  609  309  1  0 98  0  0
0  0 347872 221064  11120 406012    0    0     2    70  620  294  1  0 98  0  0
0  0 347872 221284  11128 406020    0    0     1    24  587  271  1  0 99  0  0
0  0 347872 220780  11136 406024    0    0     1    18  593  249  1  0 99  0  0
0  0 347872 224308  11152 406024    0    0     1    37  599  327  2  0 98  0  0
0  0 347872 223804  11160 406052    0    0     1    19  603  282  2  0 98  0  0
0  0 347872 223552  11192 406052    0    0     1    66  595  295  1  0 98  0  0
0  0 347872 221252  11208 406080    0    0     1    35  585  401  2  0 97  0  0
0  0 347872 219992  11232 406092    0    0     1    34  606  373  3  0 97  0  0
0  0 347872 259284  11248 406112    0    0     1    90  585  415  4  0 96  0  0
procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
4  0 347872 252500  11264 406304    0    0     1    25  582  383  2  0 97  0  0
0  0 347872 255776  11280 406304    0    0     1    55  605  268  1  0 99  0  0
0  0 347872 252468  11296 406308    0    0     1    64  587  523  3  0 96  0  0
0  0 347872 259776  11312 406308    0    0     1     7  570  302  2  0 98  0  0
0  0 347872 255964  11336 406832   14    0    48    91 1207  882  2  0 97  0  0
0  0 347616 255444  11352 406840    2    0     3    25 2384 1704  2  0 98  0  0
0  0 347616 247404  11388 406880    1    0     3    42  610  469  3  0 97  0  0
0  0 347616 247656  11404 406880    0    0     1    66  592  306  2  0 98  0  0
0  0 347616 247656  11428 406908    0    0     1    48  589  383  2  0 98  0  0
0  0 347616 246900  11436 406920    0    0     1    40  591  302  1  0 98  0  0
0  0 347616 245892  11468 406920    0    0     1    75  612  336  1  0 98  0  0
0  0 347616 244600  11492 406920    0    0     1    20  622  360  2  0 98  0  0
0  0 347616 239308  11508 406984    0    0     1    81  628  367  2  0 97  0  0
0  0 347616 241304  11532 407008    0    0     1    21  619  332  2  0 98  0  0
0  0 347616 242112  11548 407032    0    0     1    56  627  368  2  0 97  0  0
0  0 347616 238868  11572 407060    0    0     1    56  635  477  2  0 97  0  0
0  0 347616 240128  11600 407060    1    0     1    27  616  348  2  0 98  0  0
0  0 347616 239152  11616 407064    0    0     1    92  617  364  2  0 98  0  0
0  0 347616 239404  11632 407068    1    0     2    16  624  340  2  0 98  0  0
1  0 347616 240412  11648 407224    0    0     1    41  627  302  2  0 98  0  0
0  0 347616 240128  11656 407236    0    0     1    63  628  268  1  0 98  0  0
procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
4  0 347616 239876  11680 407252    0    0     1    45  619  301  1  0 98  0  0
0  0 347616 239876  11696 407264    2    0     3     7  617  257  1  0 98  0  0
0  0 347616 238616  11712 407288    0    0     1    58  609  274  1  0 98  0  0
0  0 347616 216376  11736 408156    0    0     1    47  628  562  4  1 95  0  0
0  0 347616 222928  11784 407348    0    0     1   135  640  365  2  0 98  0  0
0  0 347616 225668  11800 407348    0    0     1    77  633  344  2  0 98  0  0
0  0 347616 225164  11824 407368    0    0     1    43  623  328  2  0 98  0  0
0  0 347616 224408  11840 407380    0    0     1   102  632  362  2  0 98  0  0
0  0 347616 223368  11856 407388    0    0     1     7  627  419  2  0 97  0  0
0  0 347616 223148  11872 407404    1    0     2    48  620  339  2  0 98  0  0
0  0 347616 223432  11888 407432    0    0     1    62  610  277  1  0 98  0  0
0  0 347616 223968  11904 407448    0    0     1     9  610  344  2  0 98  0  0
0  0 347616 223212  11920 407448    0    0     1   103  612  287  2  0 98  0  0
0  0 347616 223432  11936 407452    0    0     1     6  621  323  2  0 98  0  0
0  0 347616 223936  11952 407476    0    0     1   100  625  298  1  0 98  0  0
0  0 347616 215556  11984 407532    0    0     1    19  609  340  2  0 97  0  0
0  0 347616 215808  12000 407548    0    0     1    52  630  432  2  0 97  0  0
0  0 347616 217320  12016 407564    0    0     1    24  626  447  2  0 98  0  0
0  0 347616 218580  12036 407588    0    0     1    50  600  262  1  0 98  0  0
0  0 347616 218832  12052 407588    1    0     2    55  620  259  1  0 98  0  0
0  0 347616 217824  12060 407588    0    0     1    17  609  283  2  0 98  0  0
procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
4  0 347616 217320  12076 407592    0    0     2    12  620  410  2  0 98  0  0
1  0 347616 217068  12092 407724    0    0     1    85  622  330  2  0 98  0  0
0  0 347616 210800  12116 407752    0    0     1    25  629  539  3  0 97  0  0
0  0 347616 214328  12132 407768    0    0     1    44  629  366  2  0 98  0  0
0  0 347616 213288  12148 407784    0    0     2    59  627  429  2  0 98  0  0
0  0 347616 213288  12172 407792    0    0     1    26  605  263  1  0 99  0  0
0  0 347616 244000  12188 407852    0    0     1    81  608  431  3  0 96  0  0
0  0 347616 242488  12204 407876    1    0     2    27  625  663  6  1 93  0  0
0  0 347616 246552  12220 407876    2    0     3    52  615  334  2  0 98  0  0
0  0 347616 246300  12244 407876    0    0     1    57  607  309  2  0 98  0  0
0  0 347616 246048  12260 407908    0    0     1    45  641  406  2  0 97  0  0
0  0 347616 246552  12276 407920    0    0     1    57  631  341  2  0 97  1  0
0  0 347616 244252  12292 407932    1    0     2    22  640  397  2  0 98  0  0
0  0 347616 244788  12316 407932    0    0     1    49  639  368  2  0 98  0  0
0  0 347616 245040  12340 407968    0    0     1    66  631  307  1  0 98  0  0
0  0 347616 245292  12356 407960    1    0     2    13  625  319  1  0 99  0  0
0  0 347616 243748  12372 407972    0    0     1    48  632  363  2  0 98  0  0
0  0 347616 244756  12388 407972    0    0     1    53  634  291  2  0 98  0  0
0  0 347616 235652  12404 408028    0    0     1    45  640  379  3  0 97  0  0
0  0 347616 233636  12436 407268    0    0     1    22  614  342  4  0 96  0  0
0  0 347616 225036  12452 406488    0    0     1   109  632  498  7  0 93  0  0
procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
4  0 347616 225288  12468 407292    0    0     1    97  621  336  2  0 97  0  0
1  0 347616 101740  12552 431984    0    0  1023   525  775 3837 19  3 75  2  0
0  0 347616 137224  12740 425724    0    0     2  2173  752 4988 11  3 85  0  0
0  0 347616 143808  12756 425736    0    0     1   187  626  388  2  0 97  0  0
0  0 347616 145100  12780 425740    0    0     2   495  633  347  2  0 97  1  0
0  0 347616 145620  12796 425764    0    0     1    71  613  338  2  0 98  0  0
2  0 347616 206604  12828 425728    0    0     1    73  616  540  3  0 96  0  0
0  0 347616 226008  12844 425696    0    0     2    49  609  415  3  0 97  0  0
0  0 347616 237632  12868 425700    0    0     1    57  602  287  1  0 98  0  0








































































































































































































































































































































































































































































































































































































































































































